stdev,min,avg,max
evl-baseline-read-raw-1-slat,,,
2086.28,77.0,576.21,176995.0
evl-baseline-read-raw-1-clat,,,
83910.0,2000.0,75590.0,1420000.0
evl-baseline-read-raw-1-bw,,,
8.10712,1.432,13.40984,25.856
evl-baseline-read-raw-10-slat,,,
77612.81,134.0,17877.84,1751600.0
evl-baseline-read-raw-10-clat,,,
884460.0,9000.0,1089130.0,7657000.0
evl-baseline-read-raw-10-bw,,,
0.6812,0.34400000000000003,9.27296,40.056
evl-baseline-read-raw-100-slat,,,
652872.31,91.0,416502.37,7757100.0
evl-baseline-read-raw-100-clat,,,
6683090.0,11000.0,12894530.0,42975000.0
evl-baseline-read-raw-100-bw,,,
0.0892,3.128,10.035680000000001,67.896
evl-baseline-read-raw-1000-slat,,,
1179587.0,29.0,543774.77,23873000.0
evl-baseline-read-raw-1000-clat,,,
10169030.0,4000.0,15587970.0,58661000.0
evl-baseline-read-raw-1000-bw,,,
0.02056,7.328,25.08416,149.56
evl-baseline-read-ext4-1-slat,,,
1894.56,84.0,523.27,121338.0
evl-baseline-read-ext4-1-clat,,,
60850.0,2000.0,66910.0,1139000.0
evl-baseline-read-ext4-1-bw,,,
7.74408,2.912,15.150879999999999,25.632
evl-baseline-read-ext4-10-slat,,,
80468.59,100.0,16734.42,2442100.0
evl-baseline-read-ext4-10-clat,,,
866080.0,10000.0,1131640.0,8136000.0
evl-baseline-read-ext4-10-bw,,,
0.5923200000000001,0.32,8.97968,38.352000000000004
evl-baseline-read-ext4-100-slat,,,
596186.8,107.0,362800.0,8664800.0
evl-baseline-read-ext4-100-clat,,,
6542230.0,25000.0,11139870.0,39837000.0
evl-baseline-read-ext4-100-bw,,,
0.11304000000000002,3.184,11.26144,89.544
evl-baseline-read-ext4-1000-slat,,,
984485.12,28.0,498513.63,18919000.0
evl-baseline-read-ext4-1000-clat,,,
11418920.0,6000.0,15247950.0,84385000.0
evl-baseline-read-ext4-1000-bw,,,
0.01912,7.872,24.404799999999998,128.424
evl-baseline-read-xfs-1-slat,,,
3454.07,92.0,715.95,180849.0
evl-baseline-read-xfs-1-clat,,,
54710.97,1912.0,66647.61,682839.0
evl-baseline-read-xfs-1-bw,,,
7.55216,4.192,15.22368,25.824
evl-baseline-read-xfs-10-slat,,,
73893.14,109.0,22130.86,1834100.0
evl-baseline-read-xfs-10-clat,,,
711540.0,9000.0,888870.0,5906000.0
evl-baseline-read-xfs-10-bw,,,
0.81464,0.384,11.26416,45.832
evl-baseline-read-xfs-100-slat,,,
512113.11,105.0,249806.55,11122000.0
evl-baseline-read-xfs-100-clat,,,
5843560.0,17000.0,7511070.0,36813000.0
evl-baseline-read-xfs-100-bw,,,
0.14064,3.192,16.46,88.384
evl-baseline-read-xfs-1000-slat,,,
1630384.19,26.0,914748.61,33699000.0
evl-baseline-read-xfs-1000-clat,,,
16692680.0,5000.0,27619600.0,106269000.0
evl-baseline-read-xfs-1000-bw,,,
0.016079999999999997,7.8,18.861520000000002,116.60000000000001
evl-baseline-read-raid0-1-slat,,,
12484.13,107.0,2842.13,348675.0
evl-baseline-read-raid0-1-clat,,,
103700.0,2000.0,98300.0,872000.0
evl-baseline-read-raid0-1-bw,,,
9.8956,1.408,10.13,38.104
evl-baseline-read-raid0-10-slat,,,
90846.94,123.0,30901.71,1935500.0
evl-baseline-read-raid0-10-clat,,,
1065650.0,4000.0,1000860.0,7376000.0
evl-baseline-read-raid0-10-bw,,,
1.5804,0.312,9.80376,105.85600000000001
evl-baseline-read-raid0-100-slat,,,
478253.63,137.0,274441.19,6293800.0
evl-baseline-read-raid0-100-clat,,,
7434160.0,24000.0,8504020.0,37230000.0
evl-baseline-read-raid0-100-bw,,,
0.19128,3.168,13.561520000000002,128.456
evl-baseline-read-raid0-1000-slat,,,
1275279.42,34.0,516839.04,30178000.0
evl-baseline-read-raid0-1000-clat,,,
12398010.0,4000.0,14488120.0,66724000.0
evl-baseline-read-raid0-1000-bw,,,
0.03304,7.92,30.97696,180.568
