stdev,min,avg,max
evl-largeids-read-raw-1-slat,,,
1073.17,60.0,462.89,75698.0
evl-largeids-read-raw-1-clat,,,
43780.0,2000.0,59960.0,551000.0
evl-largeids-read-raw-1-bw,,,
6.984,5.216,16.944,25.92
evl-largeids-read-raw-10-slat,,,
91139.75,76.0,24661.75,1636300.0
evl-largeids-read-raw-10-clat,,,
928490.0,4000.0,1299790.0,7108000.0
evl-largeids-read-raw-10-bw,,,
0.54799736,0.031936,7.6160000000000005,5.041224
evl-largeids-read-raw-100-slat,,,
668586.27,102.0,447273.43,7696500.0
evl-largeids-read-raw-100-clat,,,
6911320.0,14000.0,13777580.0,43137000.0
evl-largeids-read-raw-100-bw,,,
0.08861392,0.0264,6.784,1.671168
evl-largeids-read-raw-1000-slat,,,
1591094.38,29.0,987869.27,25856000.0
evl-largeids-read-raw-1000-clat,,,
18410050.0,11000.0,29444090.0,103088000.0
evl-largeids-read-raw-1000-bw,,,
0.014762079999999999,0.006535999999999999,7.824,0.318776
evl-largeids-read-ext4-1-slat,,,
1820.55,66.0,530.29,174730.0
evl-largeids-read-ext4-1-clat,,,
31320.0,2000.0,47510.0,508000.0
evl-largeids-read-ext4-1-bw,,,
5.61832,7.04,21.312,25.888
evl-largeids-read-ext4-10-slat,,,
44005.85,109.0,8772.58,2418500.0
evl-largeids-read-ext4-10-clat,,,
439170.0,3000.0,515070.00000000006,4993000.0
evl-largeids-read-ext4-10-bw,,,
0.9609924799999999,0.032768,19.184,6.659208
evl-largeids-read-ext4-100-slat,,,
286187.83,118.0,144390.6,6950600.0
evl-largeids-read-ext4-100-clat,,,
2354710.0,16000.0,4452400.0,19672000.0
evl-largeids-read-ext4-100-bw,,,
0.19177439999999998,0.029359999999999997,21.400000000000002,2.523136
evl-largeids-read-ext4-1000-slat,,,
569014.92,28.0,338700.26,12734000.0
evl-largeids-read-ext4-1000-clat,,,
4378730.0,8000.0,10263420.0,31155000.0
evl-largeids-read-ext4-1000-bw,,,
0.02313504,0.006552,22.240000000000002,0.516096
evl-largeids-read-xfs-1-slat,,,
994.75,71.0,477.92,100070.0
evl-largeids-read-xfs-1-clat,,,
29610.0,2000.0,46630.0,377000.0
evl-largeids-read-xfs-1-bw,,,
5.706,8.512,21.736,26.048000000000002
evl-largeids-read-xfs-10-slat,,,
37080.54,123.0,7744.31,2063000.0
evl-largeids-read-xfs-10-clat,,,
357700.0,2000.0,434480.0,5706000.0
evl-largeids-read-xfs-10-bw,,,
0.9519044,0.032768,22.728,8.137016
evl-largeids-read-xfs-100-slat,,,
286834.26,118.0,137853.01,6174400.0
evl-largeids-read-xfs-100-clat,,,
1855820.0,5000.0,4204360.0,14481000.0
evl-largeids-read-xfs-100-bw,,,
0.1727504,0.026424,22.192,2.686976
evl-largeids-read-xfs-1000-slat,,,
533070.42,34.0,315107.51,12658000.0
evl-largeids-read-xfs-1000-clat,,,
4095700.0,13000.0,9534530.0,26013000.0
evl-largeids-read-xfs-1000-bw,,,
0.024969119999999997,0.00656,23.816,0.654048
evl-largeids-read-raid0-1-slat,,,
6780.02,90.0,1677.32,267617.0
evl-largeids-read-raid0-1-clat,,,
59030.0,2000.0,57780.0,602000.0
evl-largeids-read-raid0-1-bw,,,
11.28128,3.136,17.224,38.264
evl-largeids-read-raid0-10-slat,,,
66419.7,151.0,11689.78,2696000.0
evl-largeids-read-raid0-10-clat,,,
677320.0,3000.0,388170.0,8665000.0
evl-largeids-read-raid0-10-bw,,,
2.91282016,0.031024,25.288,17.173023999999998
evl-largeids-read-raid0-100-slat,,,
281820.29,166.0,82318.4,8443500.0
evl-largeids-read-raid0-100-clat,,,
2480600.0,26000.0,2536210.0,18220000.0
evl-largeids-read-raid0-100-bw,,,
0.3398744,0.032728,38.224000000000004,2.752512
evl-largeids-read-raid0-1000-slat,,,
653690.19,34.0,201048.28,18627000.0
evl-largeids-read-raid0-1000-clat,,,
5071390.0,2000.0,6008600.0,28641000.0
evl-largeids-read-raid0-1000-bw,,,
0.0502576,0.003584,36.648,0.974432
