stdev,min,avg,max
ottawa-baseline-read-raw-1-slat,,,
4840.02,120.0,575.01,98873.0
ottawa-baseline-read-raw-1-clat,,,
42350.0,15000.0,71040.0,184000.0
ottawa-baseline-read-raw-1-bw,,,
4.03336,8.352,14.296000000000001,24.248
ottawa-baseline-read-raw-10-slat,,,
19886.24,77.0,3068.68,662584.0
ottawa-baseline-read-raw-10-clat,,,
280900.0,15000.0,362270.0,1924000.0
ottawa-baseline-read-raw-10-bw,,,
1.48208,8.064,25.696,83.032
ottawa-baseline-read-raw-100-slat,,,
261540.46,70.0,93719.5,6213900.0
ottawa-baseline-read-raw-100-clat,,,
2792620.0,48000.0,3127230.0,20502000.0
ottawa-baseline-read-raw-100-bw,,,
0.38351999999999997,4.44,25.712,211.728
ottawa-baseline-read-raw-1000-slat,,,
0,0,0,0
ottawa-baseline-read-raw-1000-clat,,,
0,0,0,0
ottawa-baseline-read-raw-1000-bw,,,
0,0,0,0
ottawa-baseline-read-ext4-1-slat,,,
8955.96,114.0,1083.55,809191.0
ottawa-baseline-read-ext4-1-clat,,,
70920.0,15000.0,102730.0,1011000.0
ottawa-baseline-read-ext4-1-bw,,,
2.4803200000000003,1.728,9.864,16.8
ottawa-baseline-read-ext4-10-slat,,,
19874.64,111.0,3176.89,669405.0
ottawa-baseline-read-ext4-10-clat,,,
281860.0,17000.0,366490.0,1987000.0
ottawa-baseline-read-ext4-10-bw,,,
1.45808,7.264,25.776,75.136
ottawa-baseline-read-ext4-100-slat,,,
253402.09,108.0,98768.65,5986800.0
ottawa-baseline-read-ext4-100-clat,,,
2534220.0,22000.0,3257770.0,20698000.0
ottawa-baseline-read-ext4-100-bw,,,
0.33127999999999996,4.376,25.712,186.088
ottawa-baseline-read-ext4-1000-slat,,,
894795.35,28.0,281675.44,33731000.0
ottawa-baseline-read-ext4-1000-clat,,,
4994520.0,40000.0,8520870.0,53163000.0
ottawa-baseline-read-ext4-1000-bw,,,
0.03616,7.968,25.672,171.448
ottawa-baseline-read-xfs-1-slat,,,
4712.1,112.0,558.36,129730.0
ottawa-baseline-read-xfs-1-clat,,,
41590.0,15000.0,71570.0,232000.0
ottawa-baseline-read-xfs-1-bw,,,
3.96728,8.192,14.192,24.672
ottawa-baseline-read-xfs-10-slat,,,
20903.12,76.0,3388.52,607426.0
ottawa-baseline-read-xfs-10-clat,,,
277270.0,17000.0,366660.0,1762000.0
ottawa-baseline-read-xfs-10-bw,,,
1.37168,7.5200000000000005,25.712,77.12
ottawa-baseline-read-xfs-100-slat,,,
258502.88,69.0,98395.1,4536900.0
ottawa-baseline-read-xfs-100-clat,,,
2576140.0,32000.0,3270260.0,15608000.0
ottawa-baseline-read-xfs-100-bw,,,
0.33032,4.632,25.672,181.232
ottawa-baseline-read-xfs-1000-slat,,,
932180.05,19.0,282538.13,30434000.0
ottawa-baseline-read-xfs-1000-clat,,,
5210170.0,16000.0,8556080.0,50036000.0
ottawa-baseline-read-xfs-1000-bw,,,
0.03736,7.968,25.168,179.44
ottawa-baseline-read-raid0-1-slat,,,
9275.56,119.0,1629.22,106925.0
ottawa-baseline-read-raid0-1-clat,,,
56720.0,15000.0,76830.0,249000.0
ottawa-baseline-read-raid0-1-bw,,,
4.14016,6.5600000000000005,13.048,30.176000000000002
ottawa-baseline-read-raid0-10-slat,,,
5603.68,85.0,1619.82,273595.0
ottawa-baseline-read-raid0-10-clat,,,
76750.0,17000.0,140400.0,592000.0
ottawa-baseline-read-raid0-10-bw,,,
1.95448,40.96,67.8,138.184
ottawa-baseline-read-raid0-100-slat,,,
56530.23,79.0,38071.59,659443.0
ottawa-baseline-read-raid0-100-clat,,,
730110.0,22000.0,1185420.0,4091000.0
ottawa-baseline-read-raid0-100-bw,,,
0.6209600000000001,23.304000000000002,68.528,297.608
ottawa-baseline-read-raid0-1000-slat,,,
122511.39,22.0,86552.34,3408700.0
ottawa-baseline-read-raid0-1000-clat,,,
2043250.0,16000.0,2586720.0,9236000.0
ottawa-baseline-read-raid0-1000-bw,,,
0.12216,28.776,68.416,562.32
