stdev,min,avg,max
ottawa-baseline-read-raw-1-slat,,,
5652.14,163.0,531.83,1449000.0
ottawa-baseline-read-raw-1-clat,,,
149300.0,31000.0,131560.0,2344000.0
ottawa-baseline-read-raw-1-bw,,,
6.670280559999999,0.16399999999999998,7.752,24.108584
ottawa-baseline-read-raw-10-slat,,,
98368.16,188.0,6794.36,7284900.0
ottawa-baseline-read-raw-10-clat,,,
961570.0,32000.0,697570.0,23808000.0
ottawa-baseline-read-raw-10-bw,,,
1.14376,0.992,13.672,66.976
ottawa-baseline-read-raw-100-slat,,,
476362.37,199.0,99211.48,11780000.0
ottawa-baseline-read-raw-100-clat,,,
25235220.0,56000.0,7525870.0,231919000.0
ottawa-baseline-read-raw-100-bw,,,
0.26816,3.216,11.816,136.88
ottawa-baseline-read-raw-1000-slat,,,
0,0,0,0
ottawa-baseline-read-raw-1000-clat,,,
0,0,0,0
ottawa-baseline-read-raw-1000-bw,,,
0,0,0,0
ottawa-baseline-read-ext4-1-slat,,,
2691.7,206.0,527.79,227137.0
ottawa-baseline-read-ext4-1-clat,,,
30040.0,31000.0,52500.0,609000.0
ottawa-baseline-read-ext4-1-bw,,,
4.32184,7.328,19.312,24.152
ottawa-baseline-read-ext4-10-slat,,,
48209.25,225.0,11294.46,1830900.0
ottawa-baseline-read-ext4-10-clat,,,
378780.0,34000.0,537910.0,10319000.0
ottawa-baseline-read-ext4-10-bw,,,
0.67064,2.56,18.384,42.528
ottawa-baseline-read-ext4-100-slat,,,
323936.65,223.0,242457.43,3679500.0
ottawa-baseline-read-ext4-100-clat,,,
4141410.0,190000.0,7518660.0,28101000.0
ottawa-baseline-read-ext4-100-bw,,,
0.08784,3.184,12.92,42.264
ottawa-baseline-read-ext4-1000-slat,,,
2147819.27,61.0,1160006.89,12574000.0
ottawa-baseline-read-ext4-1000-clat,,,
23204810.0,36000.0,35055520.0,134273000.0
ottawa-baseline-read-ext4-1000-bw,,,
0.019760000000000003,7.888,6.456,124.936
ottawa-baseline-read-xfs-1-slat,,,
4111.93,201.0,526.67,501974.0
ottawa-baseline-read-xfs-1-clat,,,
127570.0,31000.0,127500.0,6433000.0
ottawa-baseline-read-xfs-1-bw,,,
5.17409712,0.820016,8.0,23.592959999999998
ottawa-baseline-read-xfs-10-slat,,,
88596.83,201.0,5370.31,9699300.0
ottawa-baseline-read-xfs-10-clat,,,
803990.0,36000.0,634330.0,21150000.0
ottawa-baseline-read-xfs-10-bw,,,
0.844,0.928,14.392,49.752
ottawa-baseline-read-xfs-100-slat,,,
504496.9,183.0,70611.84,23461000.0
ottawa-baseline-read-xfs-100-clat,,,
32709690.0,32000.0,9428070.0,280107000.0
ottawa-baseline-read-xfs-100-bw,,,
0.25872,3.176,10.536,135.76
ottawa-baseline-read-xfs-1000-slat,,,
881546.86,48.0,168997.78,27836000.0
ottawa-baseline-read-xfs-1000-clat,,,
105930140.0,33000.0,42765080.0,550744000.0
ottawa-baseline-read-xfs-1000-bw,,,
0.033280000000000004,7.896,5.72,192.704
ottawa-baseline-read-raid0-1-slat,,,
13764.73,204.0,2194.67,2002400.0
ottawa-baseline-read-raid0-1-clat,,,
116860.0,30000.0,126450.0,2928000.0
ottawa-baseline-read-raid0-1-bw,,,
4.42915528,1.441792,7.96,22.839295999999997
ottawa-baseline-read-raid0-10-slat,,,
88151.48,219.0,19987.04,5781500.0
ottawa-baseline-read-raid0-10-clat,,,
919680.0,33000.0,969670.0,21993000.0
ottawa-baseline-read-raid0-10-bw,,,
0.74256,0.608,9.976,63.160000000000004
ottawa-baseline-read-raid0-100-slat,,,
1041773.61,196.0,398349.19,27930000.0
ottawa-baseline-read-raid0-100-clat,,,
39739320.0,35000.0,13936150.0,429933000.0
ottawa-baseline-read-raid0-100-bw,,,
0.2112,3.168,6.856,170.376
ottawa-baseline-read-raid0-1000-slat,,,
1450422.96,49.0,417235.62,37072000.0
ottawa-baseline-read-raid0-1000-clat,,,
62940600.0,30000.0,29355270.0,363825000.0
ottawa-baseline-read-raid0-1000-bw,,,
0.05224,9.072000000000001,7.664000000000001,262.928
