stdev,min,avg,max
ottawa-largeids-read-raw-1-slat,,,
5070.06,107.0,617.42,98494.0
ottawa-largeids-read-raw-1-clat,,,
42010.0,16000.0,72840.0,256000.0
ottawa-largeids-read-raw-1-bw,,,
3.80768,8.224,13.936,24.088
ottawa-largeids-read-raw-10-slat,,,
22231.14,73.0,3922.7,812846.0
ottawa-largeids-read-raw-10-clat,,,
257980.00000000003,17000.0,376280.0,1679000.0
ottawa-largeids-read-raw-10-bw,,,
1.2444000000000002,8.352,25.768,75.296
ottawa-largeids-read-raw-100-slat,,,
257447.49,69.0,97702.25,4119899.9999999995
ottawa-largeids-read-raw-100-clat,,,
2606970.0,48000.0,3240660.0,16449000.0
ottawa-largeids-read-raw-100-bw,,,
0.34816,4.936,25.768,199.024
ottawa-largeids-read-raw-1000-slat,,,
908843.33,18.0,275085.34,32601000.0
ottawa-largeids-read-raw-1000-clat,,,
5278000.0,20000.0,8294139.999999999,43570000.0
ottawa-largeids-read-raw-1000-bw,,,
0.04152,7.992,25.624,208.672
ottawa-largeids-read-ext4-1-slat,,,
8637.58,108.0,910.55,934580.0
ottawa-largeids-read-ext4-1-clat,,,
70900.0,16000.0,99370.0,1402000.0
ottawa-largeids-read-ext4-1-bw,,,
2.7312800000000004,1.216,10.208,21.072
ottawa-largeids-read-ext4-10-slat,,,
19406.11,109.0,2948.39,674680.0
ottawa-largeids-read-ext4-10-clat,,,
280910.0,18000.0,367160.0,1675000.0
ottawa-largeids-read-ext4-10-bw,,,
1.334,7.968,25.808,74.696
ottawa-largeids-read-ext4-100-slat,,,
263331.17,108.0,100282.89,4859300.0
ottawa-largeids-read-ext4-100-clat,,,
2684510.0,20000.0,3316150.0,19900000.0
ottawa-largeids-read-ext4-100-bw,,,
0.3364,4.208,25.784,186.496
ottawa-largeids-read-ext4-1000-slat,,,
883796.24,29.0,281557.18,24119000.0
ottawa-largeids-read-ext4-1000-clat,,,
4886520.0,16000.0,8505510.0,43479000.0
ottawa-largeids-read-ext4-1000-bw,,,
0.03552,7.976,25.656,170.224
ottawa-largeids-read-xfs-1-slat,,,
4275.21,93.0,486.96,100878.0
ottawa-largeids-read-xfs-1-clat,,,
40330.0,12000.0,68460.0,230000.0
ottawa-largeids-read-xfs-1-bw,,,
4.61768,8.32,14.848,24.76
ottawa-largeids-read-xfs-10-slat,,,
20100.8,71.0,3040.57,860664.0
ottawa-largeids-read-xfs-10-clat,,,
286530.0,17000.0,379450.0,2102000.0
ottawa-largeids-read-xfs-10-bw,,,
1.26456,7.392,25.736,75.856
ottawa-largeids-read-xfs-100-slat,,,
259856.27,69.0,99361.09,4739800.0
ottawa-largeids-read-xfs-100-clat,,,
2562160.0,48000.0,3293130.0,16633000.0
ottawa-largeids-read-xfs-100-bw,,,
0.33576,4.832,25.752,185.16
ottawa-largeids-read-xfs-1000-slat,,,
915571.66,19.0,275671.54,26998000.0
ottawa-largeids-read-xfs-1000-clat,,,
5339220.0,28000.0,8302690.000000001,45357000.0
ottawa-largeids-read-xfs-1000-bw,,,
0.04304,7.952,25.68,220.32
ottawa-largeids-read-raid0-1-slat,,,
9406.95,110.0,1777.88,133934.0
ottawa-largeids-read-raid0-1-clat,,,
56700.0,10000.0,77700.0,309000.0
ottawa-largeids-read-raid0-1-bw,,,
3.5148800000000002,6.72,12.88,25.248
ottawa-largeids-read-raid0-10-slat,,,
5181.82,89.0,1504.65,154278.0
ottawa-largeids-read-raid0-10-clat,,,
75780.0,17000.0,141480.0,492000.0
ottawa-largeids-read-raid0-10-bw,,,
1.61344,44.928000000000004,68.152,118.36800000000001
ottawa-largeids-read-raid0-100-slat,,,
57098.29,76.0,42489.82,832456.0
ottawa-largeids-read-raid0-100-clat,,,
569370.0,18000.0,1313480.0,4307000.0
ottawa-largeids-read-raid0-100-bw,,,
0.3644,23.648,70.04,201.608
ottawa-largeids-read-raid0-1000-slat,,,
109623.87,21.0,91486.51,2850300.0
ottawa-largeids-read-raid0-1000-clat,,,
1627240.0,17000.0,2745760.0,8218000.0
ottawa-largeids-read-raid0-1000-bw,,,
0.07776000000000001,28.744,70.64,373.968
