stdev,min,avg,max
ottawa-largeids-read-raw-1-slat,,,
8050.64,187.0,566.76,1557000.0
ottawa-largeids-read-raw-1-clat,,,
110580.0,31000.0,87190.0,2691000.0
ottawa-largeids-read-raw-1-bw,,,
6.66496,0.128,11.664,23.04
ottawa-largeids-read-raw-10-slat,,,
77462.86,194.0,5473.32,8569700.0
ottawa-largeids-read-raw-10-clat,,,
1014000.0,33000.0,766300.0,27767000.0
ottawa-largeids-read-raw-10-bw,,,
0.84248,0.48,12.856,52.008
ottawa-largeids-read-raw-100-slat,,,
622468.25,164.0,109639.62,29277000.0
ottawa-largeids-read-raw-100-clat,,,
17144200.0,12000.0,6897770.0,156277000.0
ottawa-largeids-read-raw-100-bw,,,
0.25704000000000005,3.184,11.152000000000001,135.584
ottawa-largeids-read-raw-1000-slat,,,
927706.01,48.0,148700.32,27390000.0
ottawa-largeids-read-raw-1000-clat,,,
134355220.0,31000.0,54496570.0,700585000.0
ottawa-largeids-read-raw-1000-bw,,,
0.02576,7.752,4.5280000000000005,173.17600000000002
ottawa-largeids-read-ext4-1-slat,,,
6006.72,236.0,732.29,486430.0
ottawa-largeids-read-ext4-1-clat,,,
103300.0,31000.0,93160.0,1649000.0
ottawa-largeids-read-ext4-1-bw,,,
6.63304,1.024,10.904,22.704
ottawa-largeids-read-ext4-10-slat,,,
61511.26,225.0,13788.56,1688700.0
ottawa-largeids-read-ext4-10-clat,,,
654070.0,35000.0,687910.0,11583000.0
ottawa-largeids-read-ext4-10-bw,,,
0.74248,0.384,14.304,37.544000000000004
ottawa-largeids-read-ext4-100-slat,,,
746940.11,243.0,537355.6,8732100.0
ottawa-largeids-read-ext4-100-clat,,,
14562600.0,138000.0,18352770.0,101252000.0
ottawa-largeids-read-ext4-100-bw,,,
0.07429327999999999,3.26644,5.264,90.365192
ottawa-largeids-read-ext4-1000-slat,,,
1568873.46,67.0,906113.7,9551100.0
ottawa-largeids-read-ext4-1000-clat,,,
15427840.0,52000.0,26392390.0,95781000.0
ottawa-largeids-read-ext4-1000-bw,,,
0.019440000000000002,7.728,8.496,115.528
ottawa-largeids-read-xfs-1-slat,,,
4811.94,199.0,553.73,707615.0
ottawa-largeids-read-xfs-1-clat,,,
122200.0,31000.0,146870.0,1763000.0
ottawa-largeids-read-xfs-1-bw,,,
4.7280724,1.572864,6.944,22.9376
ottawa-largeids-read-xfs-10-slat,,,
83663.31,197.0,8135.25,5505500.0
ottawa-largeids-read-xfs-10-clat,,,
1267020.0,36000.0,886850.0,23443000.0
ottawa-largeids-read-xfs-10-bw,,,
0.8414400000000001,0.41600000000000004,10.688,48.816
ottawa-largeids-read-xfs-100-slat,,,
825329.44,181.0,166725.9,22418000.0
ottawa-largeids-read-xfs-100-clat,,,
60378010.0,45000.0,28045920.0,528703000.0
ottawa-largeids-read-xfs-100-bw,,,
0.12392,3.184,3.496,87.336
ottawa-largeids-read-xfs-1000-slat,,,
862268.16,49.0,146239.88,34435000.0
ottawa-largeids-read-xfs-1000-clat,,,
98833680.0,33000.0,35890170.0,469359000.0
ottawa-largeids-read-xfs-1000-bw,,,
0.03368,7.896,6.5920000000000005,211.40800000000002
ottawa-largeids-read-raid0-1-slat,,,
14602.66,209.0,2503.22,714599.0
ottawa-largeids-read-raid0-1-clat,,,
129199.99999999999,31000.0,164080.0,2203000.0
ottawa-largeids-read-raid0-1-bw,,,
4.200895839999999,1.671168,6.144,22.478848
ottawa-largeids-read-raid0-10-slat,,,
106124.02,224.0,20414.76,6244800.0
ottawa-largeids-read-raid0-10-clat,,,
1240230.0,32000.0,962400.0,24340000.0
ottawa-largeids-read-raid0-10-bw,,,
0.99792,0.352,9.952,72.56
ottawa-largeids-read-raid0-100-slat,,,
608179.57,194.0,158545.58,25467000.0
ottawa-largeids-read-raid0-100-clat,,,
35294360.0,39000.0,9235450.0,287442000.0
ottawa-largeids-read-raid0-100-bw,,,
0.19544,3.184,10.008000000000001,115.032
ottawa-largeids-read-raid0-1000-slat,,,
1776122.08,51.0,658164.06,34362000.0
ottawa-largeids-read-raid0-1000-clat,,,
16957100.0,35000.0,19300850.0,133853000.0
ottawa-largeids-read-raid0-1000-bw,,,
0.044,7.8,10.408,227.464
